name,poi_id,cate,lat,lng,COMMUNITY,AREA_NUMBE
McDonald's,727,catering,41.9335827,-87.6688933,LAKE VIEW,6.0
Palace Grill Restaurant,742,catering,41.8816916,-87.6625101,NEAR WEST SIDE,28.0
McDonald's,763,catering,41.9247671,-87.6719298,LINCOLN PARK,7.0
Plymouth Rooftop Bar & Grill,985,catering,41.8774742,-87.6284424,LOOP,32.0
Tutto Italiano,1006,catering,41.8758143,-87.633326,LOOP,32.0
Bobtail Ice Cream & Coffee,3566,catering,41.8748289,-87.6186449,LOOP,32.0
Lou Mitchell's Restaurant,3692,catering,41.8778134,-87.642117,NEAR WEST SIDE,28.0
What's Krackin Southern Seafood,4032,catering,41.7996661,-87.5945276,HYDE PARK,41.0
Maggiano's,4077,catering,41.8913845,-87.6314565,NEAR NORTH SIDE,8.0
Harry Caray's Italian Steakhouse,4101,catering,41.888993,-87.6293193,NEAR NORTH SIDE,8.0
House of Blues,4117,catering,41.8882351,-87.6291061,NEAR NORTH SIDE,8.0
Volare,4162,catering,41.8915164,-87.6224931,NEAR NORTH SIDE,8.0
Green Street Local,4534,catering,41.8794993,-87.6487702,NEAR WEST SIDE,28.0
Su Casa Mexican Restaurant,4671,catering,41.8931208,-87.6261861,NEAR NORTH SIDE,8.0
Pizzeria Due,4679,catering,41.8931235,-87.6264512,NEAR NORTH SIDE,8.0
Broken English,4692,catering,41.9286738,-87.6535122,LINCOLN PARK,7.0
George's,9069,catering,41.7986235,-87.7415071,GARFIELD RIDGE,56.0
McDonald's,43474,catering,41.9228308,-87.7459298,BELMONT CRAGIN,19.0
KFC,44405,catering,41.9240051,-87.7445304,BELMONT CRAGIN,19.0
Astoria,48832,catering,41.939297,-87.7372809,IRVING PARK,16.0
Golden Nugget Pancake House,48992,catering,41.9314979,-87.7266278,LOGAN SQUARE,22.0
Cozy Corner Diner & Pancake House,49772,catering,41.9320174,-87.7364939,HERMOSA,20.0
Ricardo's,49854,catering,41.9314072,-87.7380212,HERMOSA,20.0
Los 2 Primos,54263,catering,41.9460682,-87.7276619,IRVING PARK,16.0
Manee Thai,54265,catering,41.9462414,-87.727731,IRVING PARK,16.0
Brasa Roja,54268,catering,41.9461466,-87.7276822,IRVING PARK,16.0
La Villa Restaurant,54340,catering,41.9475396,-87.7277446,IRVING PARK,16.0
La Humita,55195,catering,41.9446851,-87.727649,IRVING PARK,16.0
Chicago's Pizza,56313,catering,41.9537873,-87.7413866,IRVING PARK,16.0
Bree Thai,77596,catering,41.7960865,-87.7626472,GARFIELD RIDGE,56.0
Wendy's,78060,catering,41.7969388,-87.7530707,GARFIELD RIDGE,56.0
MacArthur's Restaurant,84135,catering,41.8806715,-87.7607263,AUSTIN,25.0
Dunkin',90454,catering,41.8946013,-87.7558905,AUSTIN,25.0
Golden Nugget,101999,catering,41.9351379,-87.7661226,BELMONT CRAGIN,19.0
,111939,catering,41.953144,-87.7510469,PORTAGE PARK,15.0
Smakosz Restaurant,123067,catering,41.9675893,-87.7683874,PORTAGE PARK,15.0
Eden's Fast Food,130962,catering,41.9912306,-87.7480694,FOREST GLEN,12.0
La Michoacana,137008,catering,41.7780037,-87.7737568,CLEARING,64.0
The Shrimp Shack,138642,catering,41.7920265,-87.7868619,GARFIELD RIDGE,56.0
Home Run Inn Pizza,143383,catering,41.7933688,-87.775317,GARFIELD RIDGE,56.0
Lindys Chili,145501,catering,41.792456,-87.7860875,GARFIELD RIDGE,56.0
Dunkin',154588,catering,41.9095228,-87.7847237,AUSTIN,25.0
The Dog Stop,161034,catering,41.9386855,-87.7790556,DUNNING,17.0
Earl's BBQ,176324,catering,41.9688015,-87.7780271,JEFFERSON PARK,11.0
Broasted Chicken Royale,178526,catering,41.9678996,-87.7759787,PORTAGE PARK,15.0
Moy Lee Chinese Restaurant,184115,catering,41.9777222,-87.770045,JEFFERSON PARK,11.0
Lido Banquets,184757,catering,41.9815756,-87.7736048,JEFFERSON PARK,11.0
The Big Top Restaurant,187426,catering,41.9764272,-87.7869033,JEFFERSON PARK,11.0
Papa Chris' Place,194260,catering,42.01163,-87.7833433,FOREST GLEN,12.0
Taco Bell,201849,catering,41.9242032,-87.7915718,MONTCLARE,18.0
Popeyes,201850,catering,41.9239875,-87.7916093,MONTCLARE,18.0
Elbrus,201883,catering,41.9092134,-87.7956361,AUSTIN,25.0
Brandy's Gyros,226032,catering,41.9951219,-87.8071745,NORWOOD PARK,10.0
Bob-O's Hot Dog's,250480,catering,41.9523863,-87.8340942,DUNNING,17.0
Angie's,261440,catering,41.7406073,-87.7220002,ASHBURN,70.0
,278398,catering,41.8044721,-87.723766,ARCHER HEIGHTS,57.0
Lou Malnati's Pizzeria,294345,catering,41.8517562,-87.7220092,NORTH LAWNDALE,29.0
La Justica,294348,catering,41.8440612,-87.7222823,SOUTH LAWNDALE,30.0
Wyler Road,313264,catering,41.9225805,-87.7167662,LOGAN SQUARE,22.0
Fast Food Place,313285,catering,41.9171182,-87.7172868,LOGAN SQUARE,22.0
Longman & Eagle,318330,catering,41.930073,-87.7071219,LOGAN SQUARE,22.0
Mic Duck's,321234,catering,41.9391288,-87.7126731,AVONDALE,21.0
Belmont Snack Shop,321237,catering,41.939078,-87.7128657,AVONDALE,21.0
Festa Pizzeria,321499,catering,41.9244109,-87.7148405,LOGAN SQUARE,22.0
,325782,catering,41.954162,-87.7095612,IRVING PARK,16.0
Little Bucharest Bistro,327329,catering,41.9479707,-87.7105044,IRVING PARK,16.0
,327501,catering,41.9489399,-87.7125266,IRVING PARK,16.0
Kale My Name,333327,catering,41.9613364,-87.710877,ALBANY PARK,14.0
Restaurant Los Molcajetes,333611,catering,41.9612394,-87.7171621,ALBANY PARK,14.0
Charcoal Delights,341007,catering,41.9755131,-87.7077883,NORTH PARK,13.0
Masti Grill,344836,catering,41.9976603,-87.704088,WEST RIDGE,2.0
Pop's Italian Beef & Sausage,351628,catering,41.7050427,-87.701015,MOUNT GREENWOOD,74.0
Burger King,359936,catering,41.750543,-87.702812,ASHBURN,70.0
Burger King,398875,catering,41.8517717,-87.6887283,SOUTH LAWNDALE,30.0
Taqueria Los Comales,400400,catering,41.8443216,-87.7041538,SOUTH LAWNDALE,30.0
Cantina Laredo,404356,catering,41.8911057,-87.6284244,NEAR NORTH SIDE,8.0
,408462,catering,41.8763799,-87.6965526,EAST GARFIELD PARK,27.0
Popeyes,409283,catering,41.8826856,-87.6868157,NEAR WEST SIDE,28.0
New China Restaurant,411184,catering,41.9032543,-87.688621,WEST TOWN,24.0
Guerrero's Tacos and Pizza,411536,catering,41.903176,-87.6908961,WEST TOWN,24.0
La Bruquena,412357,catering,41.9032101,-87.6955715,WEST TOWN,24.0
Taco el Jalisciense,412507,catering,41.895484,-87.6992252,HUMBOLDT PARK,23.0
Irazu,416648,catering,41.9155178,-87.6850805,LOGAN SQUARE,22.0
Arturo's Tacos,416979,catering,41.9176963,-87.6870746,LOGAN SQUARE,22.0
Los Fuentes,416982,catering,41.9177963,-87.6870793,LOGAN SQUARE,22.0
The Art of Chicken,417089,catering,41.9187787,-87.6871374,LOGAN SQUARE,22.0
Red Hot Ranch,417216,catering,41.9198218,-87.6877907,LOGAN SQUARE,22.0
Taqueria Chingon,417811,catering,41.9226859,-87.6878151,LOGAN SQUARE,22.0
Victory Grill,417911,catering,41.92156,-87.695694,LOGAN SQUARE,22.0
Don Chema,418196,catering,41.9237343,-87.6971393,LOGAN SQUARE,22.0
Sam's Red Hots,418301,catering,41.9174656,-87.6866346,LOGAN SQUARE,22.0
Parson's Chicken & Fish,419334,catering,41.9176431,-87.7013286,LOGAN SQUARE,22.0
Fat Willy’s Rib Shack,422477,catering,41.9304633,-87.6887118,LOGAN SQUARE,22.0
Marcello's Father & Son Restaurant,422849,catering,41.9266301,-87.7028387,LOGAN SQUARE,22.0
Fat Rice,424053,catering,41.9319334,-87.7021624,LOGAN SQUARE,22.0
Niko's Gyros,424055,catering,41.9319287,-87.6869075,LOGAN SQUARE,22.0
